model,scenario,Final energy per cap reductions,Share of final energy from electricity,Share of food demand from crops
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,-0.0027121074689275063,0.1616260138890928,0.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,-0.0029542545957000066,0.16440424146445493,0.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,-0.0025608980444342816,0.1519484703808317,0.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,-0.002721929771014535,0.15743773861695914,0.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,-0.0025213103346034757,0.1443796130003333,0.0
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,-0.004673189571077013,0.1594817812255166,0.06563779645473711
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,-0.0038314397791576124,0.16039386513720938,0.021604336348804765
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,-0.004312194703282098,0.1614759842006644,0.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,-0.009044317189696019,0.212939867712294,0.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,-0.004281421617606397,0.11348009449907637,0.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,-0.00744678171209865,0.12806668503045732,0.0
WITCH 5.0,EN_INDCi2030_500f,-0.012888683743992525,0.15563096409626792,0.0032891377208470463
WITCH 5.0,EN_NPi2020_400f,-0.01222307777114421,0.14092412316849945,0.0019172145884324143
WITCH 5.0,EN_NPi2020_450,-0.015603581437127333,0.17241644147767227,0.002042686051748066
WITCH 5.0,EN_NPi2020_450f,-0.011715277597222157,0.13539475984999133,0.0013951504676337212
WITCH 5.0,EN_NPi2020_500,-0.014586403809421396,0.16447264755857305,0.0019014438326009353
WITCH 5.0,EN_NPi2020_500f,-0.011138480779336733,0.1300888396948367,0.0008423507419356158
