Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,40.66347312874294,52.65231731417595,60.64230466622942,66.90333063012677,113.9505205130092,172.0381408903557,273.6898962270375,376.6824712018481,,765.6337062485284,,750.4897648398105,,745.7937269683218,,1418.459287273838
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,1721.037638345781,2210.805181533069,3123.15547306962,4421.911695514218,5758.046771488133,6862.348094211226,7343.889605972887,8232.367062070836,,10355.15523111822,,10848.08935852499,,12010.19516603065,,14237.97595163689
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,131.8547443626985,143.8435885481315,155.1458725043055,240.1475012456428,364.0011292720541,496.9400784533816,664.9440835739426,696.2891247350298,,474.5447021948283,,356.1825910815217,,536.1882330107245,,942.9488203295076
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,1906.880408529359,3371.287889938608,5302.375954424415,6518.199708744998,7932.892387878554,8886.180543440856,9658.8997577356,9717.667437248318,,9210.81393158549,,9178.41563685082,,9717.6341303772,,12448.62294064256
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,39.44978656249999,63.604683027343754,74.29589168256027,80.6297307325535,85.39426887405969,122.6804577558212,223.6628786605623,290.9081404583197,332.2143889439889,,373.2943483411424,,359.4952475939299,,534.9343674947727,,1045.896540634615
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7317881283179,1634.691318582495,2418.363691106609,4066.894294543806,5552.118969376304,6938.198514399226,7795.046783357029,8566.367889569776,9037.188791175571,,9107.25220109282,,9326.961254482185,,9750.02885371229,,11821.25639756941
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.92995890873235,40.62674547123235,60.58889310268848,145.0831746127579,377.0668841377063,817.6440981452752,1491.522686529633,2189.977287706944,2110.557028050553,,1512.999870985793,,778.5311884664088,,1196.135862621123,,1756.992181666358
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7766042789356,1805.961350959238,2963.187968799483,5011.431466589771,7074.561897024441,9061.553428834688,10572.87451256273,12022.31367522689,12219.65564508585,,11520.98626534053,,11207.51723728626,,12739.33985554556,,16501.11773621723
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,37.71220854125687,270.6057728677333,282.5946170531664,314.8565152249543,414.7234155422091,238.7096295930493,298.2002192720864,309.102318851553,222.3607046982801,,147.8480271717901,,121.219956740462,,389.1791429672213,,890.6865694286641
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7456385820435,2192.002108824999,3969.981487364954,5339.693809335919,6214.144956389117,7404.250495304047,8114.726359047353,8394.31431367362,8650.058202069642,,8934.646099994081,,9345.47258218126,,10843.1872985091,,12820.44287503276
