model,scenario,final_demand_reduction,electrification,share_food_crop,transition_speed_score,Region
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.028891763996642502,0.11398576686590597,0.0,0.14287753086254848,R10CHINA+
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.16461405957788788,0.22837552047504622,0.41441904607155466,0.8074086261244888,R10CHINA+
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.16777355090725024,0.1478277420807781,0.18507147138812258,0.5006727643761508,R10CHINA+
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.07757544888713572,0.12952337754852453,0.0,0.20709882643566024,R10CHINA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.22297825099995244,0.36692173713072185,0.0,0.5898999881306743,R10CHINA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.11542361206875022,0.22713558068941458,0.0,0.3425591927581648,R10CHINA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.208318386256256,0.2761589209813288,0.0,0.48447730723758486,R10CHINA+
WITCH 5.0,EN_INDCi2030_500f,0.21867107998170368,0.15537262861681256,0.018827157323173912,0.3928708659216901,R10CHINA+
WITCH 5.0,EN_NPi2020_400f,0.10587888392411342,0.27291037582050315,0.0,0.3787892597446166,R10CHINA+
WITCH 5.0,EN_NPi2020_450,0.2286944447927688,0.3058071777621827,0.0,0.5345016225549515,R10CHINA+
WITCH 5.0,EN_NPi2020_450f,0.09592909975234346,0.2679713875235524,0.0,0.36390048727589586,R10CHINA+
WITCH 5.0,EN_NPi2020_500,0.19123576480059357,0.2980588031280237,0.0,0.48929456792861725,R10CHINA+
WITCH 5.0,EN_NPi2020_500f,0.08619797176113118,0.26328925132266884,0.0,0.34948722308380004,R10CHINA+
IMAGE 3.2,SSP1_SPA1_19I_D,0.16698360292175055,0.18652613121569583,0.03503690462343876,0.38854663876088513,R10MIDDLE_EAST
