model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score,Region
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.2570253964469352,0.12360696139518856,0.3332210976709425,0.7138534555130662,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.24207852941529348,0.1926653040301334,0.3332210976709425,0.7679649311163694,R10INDIA+
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.34452821866739936,0.6514917400780093,0.3332210976709425,1.329241056416351,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.6385282749145602,0.5308055070534359,0.3332210976709425,1.5025548796389385,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.6438632558336387,0.536303161087339,0.3332210976709425,1.51338751459192,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.5907922094574753,0.5848141318530243,0.3332210976709425,1.508827438981442,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.5975795889038886,0.5925396078519933,0.3332210976709425,1.5233402944268244,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.6345467974726233,0.5382492848963192,0.3332210976709425,1.506017180039885,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.634959954438785,0.538667119236446,0.3332210976709425,1.5068481713461734,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.43970302245363885,0.4485076019956994,0.3332210976709425,1.2214317221202806,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.43713992266240537,0.44186613095790145,0.3332210976709425,1.2122271512912492,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.28531758719139033,0.47066656540025875,0.3332210976709425,1.0892052502625915,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.3915751189629045,0.6382715769634406,0.3332210976709425,1.3630677935972875,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000,0.17317987106744254,0.28557948763806357,0.3332210976709425,0.7919804563764485,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.1721171988368872,0.28553317132936457,0.3332210976709425,0.7908714678371942,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.17377043623359562,0.28671126166118893,0.3332210976709425,0.793702795565727,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.17824004613739947,0.2827657274048326,0.3332210976709425,0.7942268712131746,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200,0.18076683672150987,0.2817145709660695,0.3332210976709425,0.7957025053585218,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.181728268692773,0.28276472127604835,0.3332210976709425,0.7977140876397639,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.18625784691066435,0.28702095394248794,0.3332210976709425,0.8064998985240948,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.18874061781728468,0.2886263607114373,0.3332210976709425,0.8105880761996644,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400,0.19189065735017158,0.2893729456980882,0.3332210976709425,0.8144847007192022,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.19793741259613387,0.2844478623723495,0.3332210976709425,0.8156063726394258,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.20042185161784376,0.28677245142530605,0.3332210976709425,0.8204154007140922,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.20388145450488354,0.28965953410086664,0.3332210976709425,0.8267620862766927,R10INDIA+
