,scenario,model,mean_value,mean_value_2050,region
143,EN_NPi2020_700,MESSAGEix-GLOBIOM_1.1,0.6175559509824354,0.9507657389069741,R10INDIA+
144,EN_NPi2020_700_COV,MESSAGEix-GLOBIOM_1.1,0.6375289394677969,0.9489908579143072,R10INDIA+
145,EN_NPi2020_700f,MESSAGEix-GLOBIOM_1.1,0.5751041239399086,0.799096302006076,R10INDIA+
146,EN_NPi2020_700f_COV,MESSAGEix-GLOBIOM_1.1,0.6219030836783035,0.8323183075753745,R10INDIA+
147,NGFS2_Divergent Net Zero Policies,MESSAGEix-GLOBIOM_1.1,0.592794259129602,0.9645146557320445,R10INDIA+
148,NGFS2_Net-Zero 2050,MESSAGEix-GLOBIOM_1.1,0.5998708461295766,0.9512260904350367,R10INDIA+
149,CD-LINKS_INDC2030i_1000,REMIND-MAgPIE 1.7-3.0,2.1884593884502674,2.5729807327613883,R10INDIA+
150,CD-LINKS_INDC2030i_400,REMIND-MAgPIE 1.7-3.0,2.3728986086645345,2.786636565160213,R10INDIA+
151,CD-LINKS_NPi2020_1000,REMIND-MAgPIE 1.7-3.0,2.1824308898531863,2.6558104812873573,R10INDIA+
152,CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,2.392067101708866,2.9527275701646603,R10INDIA+
153,CO_2Deg2020,REMIND-MAgPIE 1.7-3.0,2.0703813215918565,2.450817730443717,R10INDIA+
154,CO_2Deg2030,REMIND-MAgPIE 1.7-3.0,2.143855366245085,2.495965710270219,R10INDIA+
155,CO_Bridge,REMIND-MAgPIE 1.7-3.0,2.1073555001384237,2.403903376272087,R10INDIA+
156,PEP_1p5C_full_NDC,REMIND-MAgPIE 1.7-3.0,2.367044459252864,2.75861349984676,R10INDIA+
157,PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0,2.354855272171859,2.872168167485805,R10INDIA+
158,PEP_1p5C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,2.3001639928076667,2.6582457012217757,R10INDIA+
159,PEP_1p5C_full_netzero,REMIND-MAgPIE 1.7-3.0,2.2857529049231835,2.6719260440370056,R10INDIA+
160,PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0,2.9687917440548723,3.809199023449371,R10INDIA+
161,PEP_2C_full_NDC,REMIND-MAgPIE 1.7-3.0,2.143855366245085,2.495965710270219,R10INDIA+
162,PEP_2C_full_eff,REMIND-MAgPIE 1.7-3.0,2.0703813215918565,2.450817730443717,R10INDIA+
163,PEP_2C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,2.0785660791870826,2.371136676164486,R10INDIA+
164,PEP_2C_full_netzero,REMIND-MAgPIE 1.7-3.0,2.0805109145785443,2.413102950857132,R10INDIA+
165,PEP_2C_red_NDC,REMIND-MAgPIE 1.7-3.0,2.560543666032552,3.025589865887602,R10INDIA+
166,PEP_2C_red_eff,REMIND-MAgPIE 1.7-3.0,2.3334338944022885,2.8448105217186725,R10INDIA+
167,PEP_2C_red_goodpractice,REMIND-MAgPIE 1.7-3.0,2.4396070736392117,2.8579737280569906,R10INDIA+
168,PEP_2C_red_netzero,REMIND-MAgPIE 1.7-3.0,2.375660220378141,2.7859874886977263,R10INDIA+
169,CEMICS_SSP1-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,1.1662884157321742,1.820241156438904,R10INDIA+
170,CEMICS_SSP1-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,1.3715947528104422,2.1276412595040872,R10INDIA+
171,CEMICS_SSP2-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,1.8899600160803176,2.3651943120784544,R10INDIA+
172,CEMICS_SSP2-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,2.2933626555171984,2.9191953192138302,R10INDIA+
173,EN_INDCi2030_300f,REMIND-MAgPIE 2.1-4.2,2.03697404373959,2.457527577673172,R10INDIA+
174,EN_INDCi2030_400f,REMIND-MAgPIE 2.1-4.2,2.015288118270629,2.4355003417686745,R10INDIA+
175,EN_INDCi2030_500f,REMIND-MAgPIE 2.1-4.2,1.9944322670394696,2.3917663791730495,R10INDIA+
176,EN_INDCi2030_600_COV,REMIND-MAgPIE 2.1-4.2,2.215122404130712,3.020022702136954,R10INDIA+
177,EN_INDCi2030_600_COV_NDCp,REMIND-MAgPIE 2.1-4.2,2.1926746403854076,2.9849670843322587,R10INDIA+
178,EN_INDCi2030_600f,REMIND-MAgPIE 2.1-4.2,1.965166529519109,2.3259722576364905,R10INDIA+
179,EN_INDCi2030_600f_COV,REMIND-MAgPIE 2.1-4.2,1.9481307411424476,2.2764880111386123,R10INDIA+
180,EN_INDCi2030_600f_COV_NDCp,REMIND-MAgPIE 2.1-4.2,1.9445670374454724,2.268458443788606,R10INDIA+
181,EN_INDCi2030_600f_NDCp,REMIND-MAgPIE 2.1-4.2,1.9625609210928145,2.3167880460120385,R10INDIA+
182,EN_NPi2020_200f,REMIND-MAgPIE 2.1-4.2,2.1991989323161687,2.8605041792363153,R10INDIA+
183,EN_NPi2020_300f,REMIND-MAgPIE 2.1-4.2,2.1688592693775446,2.796960695051,R10INDIA+
