model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,transition_speed_score
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.5384589693485269,0.46689680416645213,0.0,0.0932231208905725,0.7479443535318308,0.591656260616286,0.28687286933420236
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.4662845992966006,0.4666990143361371,0.1711368185747056,0.16943813964776838,0.4349957554982603,0.4355545839472271,0.2443778056613066
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.2824240792090879,0.512617301183692,0.0,0.17186711518803083,0.6081039800325833,0.5318502542362273,0.056626853437765
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.2266228375072676,0.46026213151798845,0.0,0.10368406628999385,0.7608020570406716,0.4557057386293269,0.09786261660921837
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.462356895273552,0.45536711117416034,0.0,0.18544458240842426,0.881082666428842,0.675946701527345,0.25851229204545995
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.420927060579196,0.5017383644335817,0.1386125920188871,0.23913774145411787,0.49351602251045346,0.5260095095688789,0.15070026096426253
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.3867539871431733,1.0,0.0,0.17408594696561014,0.99082725893992,0.8329316798096476,0.0077749103514716195
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.7309698964213439,0.5339656567352059,0.16982458388004448,0.2278173771540752,0.42793364514608667,0.5199388135283114,0.47891609345209707
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.3661526442374901,0.6292905584944634,0.0,0.2571385952318934,0.865819836149764,0.7092890821454659,0.0
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.2822818885267595,0.6699723289371893,0.0,0.1560484898714784,0.8291315406028013,0.5617031029424395,0.007092692805318101
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.4837767022651809,0.6666145841124944,0.0,0.16944047092104791,0.6335745737784774,0.5153794197892719,0.19585923263937102
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.607406624115426,0.676292438628223,0.0,0.25452485071478237,0.7192204017546778,0.6099694245629418,0.19207698774819865
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.4278713722046429,0.5263728976400018,0.0,0.4574412371342224,0.0,0.4135904245121224,0.4318383739280982
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.3495715382317655,0.5231746143025398,0.0,0.3074525968996891,0.07190860754082644,0.4146524606078508,0.3290430555303089
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.333970489846761,0.8155381842828241,0.0,0.26807583594507783,0.3347453929665134,0.5098536871252561,0.3331017645796044
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.3036521286337694,0.8147580161839343,0.0,0.2625896766374691,0.32818235268870666,0.45507215912249616,0.08783728873098394
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.2616273273769789,0.8134414954619816,0.0,0.16201599223126933,0.39742598258504996,0.4920307505115043,0.08332116723982308
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.1515784744743753,0.0,0.30540063798538186,0.747049369794117,0.5375367585956984,0.1620510793407308,0.2289455297823576
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.1469763432713826,0.0012976033853392278,0.30539802093688645,0.6999198929911733,0.7768525664562019,0.18285438050290842,0.2583808812785379
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.0,0.049993021014876064,0.30540063798538186,0.0,0.2814023001978054,0.02682959599510414,0.38388409475618357
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.1376320481644947,0.07157595792954723,0.30540063798538186,0.6875599599380349,0.8478416868626852,0.16713433353205143,0.11064150894193252
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.2075866028414183,0.6493438045892954,0.481103251441803,0.806490681086844,0.20060671115667245,0.0,0.31320624590318963
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.3849451741153604,0.759490202252346,0.0,0.17799166523662036,0.9851445906562281,0.6997903354470847,0.8030135976364191
