model,scenario,flexibility_score,region
IMAGE 3.0,ENGAGE-INDCi2030-1000,39.027490431597506,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1000f,39.18025814460548,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1200,39.1767169502874,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1200f,39.169819794932835,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1400f,39.17310204978584,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-800f,39.06079366189934,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1000,39.02655221570199,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1200,39.07417891585553,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1400,39.047096060399795,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1400f,39.07128328185653,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,38.61888113485744,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,38.745173622273455,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,37.9175310554224,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,38.61500764435662,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,38.65419179426073,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,38.90914834100793,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,37.96388013626128,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,39.24486607972872,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,38.14129129822196,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,39.284524820061286,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,39.32746618128766,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,38.868953131331175,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,38.76323118665622,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,36.74832326990868,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,37.54226473389638,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,37.81359372314309,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,38.35682787255298,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,38.47370504941616,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,37.553200092864245,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,37.876137687872586,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,37.01062708939104,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),37.600483361129605,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,36.34566833995684,R10AFRICA
