model,scenario,Final energy per cap reductions,Share of final energy from electricity,region
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,-0.007117061837995353,0.18731178991947972,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800f,-0.004867443256953326,0.1376304442353368,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,-0.004726704433321339,0.12804137071714083,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900,-0.005698309562240085,0.15759235077009282,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,-0.005466305832876094,0.14518267794655185,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900f,-0.004383116740495362,0.12529961058298628,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,-0.004253308015347408,0.12085438087669875,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000,-0.0038070133985179805,0.10273258261366758,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1000f,-0.0023950687820543694,0.10696677894793966,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1200,-0.003055191253798127,0.05584568415513197,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1200f,-0.0012812801564287615,0.06618178020929733,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1400f,-0.0012973223576654494,0.08829738497222611,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-800f,-0.0037324011041043603,0.09502223966929729,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1000,-0.0025610159929669134,0.07702128064357294,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1200,-0.0015324013260930233,0.06202170791046824,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1400,-0.0010048893128693816,0.07327211963830316,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1400f,-0.0006379986276424804,0.08240227952437912,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,-0.00047134869849929997,0.11049564063845646,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,-0.0004626726006969825,0.17016700577079757,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,-0.0007748259223227041,0.1825978370027178,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,-6.442059888803892e-05,0.09680587127883886,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.0,0.09504675763855294,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,-0.000222457446801487,0.15336318445485297,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,-0.00020972281015390823,0.1809408708723756,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,-0.0005615969997566361,0.08526552533303378,R10AFRICA
