,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached,region
138,EN_NPi2020_600f_DR10p,MESSAGEix-GLOBIOM_1.1,0.00010063603939482885,0.002301938811461242,1,R10INDIA+
139,EN_NPi2020_600f_DR1p,MESSAGEix-GLOBIOM_1.1,8.259687097816881e-05,0.0005392314565457468,1,R10INDIA+
140,EN_NPi2020_600f_DR2p,MESSAGEix-GLOBIOM_1.1,8.259687097816881e-05,0.0008514224460836814,1,R10INDIA+
141,EN_NPi2020_600f_DR3p,MESSAGEix-GLOBIOM_1.1,8.253201681128475e-05,0.0010852671956210133,1,R10INDIA+
142,EN_NPi2020_600f_DR4p,MESSAGEix-GLOBIOM_1.1,8.253201681128475e-05,0.0012070405320155006,1,R10INDIA+
143,EN_NPi2020_700,MESSAGEix-GLOBIOM_1.1,8.576793071061323e-05,0.0007116544103748582,1,R10INDIA+
144,EN_NPi2020_700_COV,MESSAGEix-GLOBIOM_1.1,8.576793071061323e-05,0.0007014405853311353,1,R10INDIA+
145,EN_NPi2020_700f,MESSAGEix-GLOBIOM_1.1,8.253201681128475e-05,0.0014325682826672528,1,R10INDIA+
146,EN_NPi2020_700f_COV,MESSAGEix-GLOBIOM_1.1,8.253201681128475e-05,0.0011465922042028925,1,R10INDIA+
147,NGFS2_Divergent Net Zero Policies,MESSAGEix-GLOBIOM_1.1,9.949269696862134e-05,0.000473610375934512,1,R10INDIA+
148,NGFS2_Net-Zero 2050,MESSAGEix-GLOBIOM_1.1,9.84793534353004e-05,0.0005494171322438859,1,R10INDIA+
149,CD-LINKS_INDC2030i_1000,REMIND-MAgPIE 1.7-3.0,-0.0005305649710908578,-0.0005305649710908578,1,R10INDIA+
150,CD-LINKS_INDC2030i_400,REMIND-MAgPIE 1.7-3.0,-0.0005305649710908578,-0.0005305649710908578,1,R10INDIA+
151,CD-LINKS_NPi2020_1000,REMIND-MAgPIE 1.7-3.0,-5.03106683772403e-05,-5.03106683772403e-05,1,R10INDIA+
152,CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,-3.968165393133938e-05,-3.968165393133938e-05,1,R10INDIA+
153,CO_2Deg2020,REMIND-MAgPIE 1.7-3.0,-0.00017148143306042196,-0.00017148143306042196,1,R10INDIA+
154,CO_2Deg2030,REMIND-MAgPIE 1.7-3.0,-0.0005266676657940256,-0.0005266676657940256,1,R10INDIA+
155,CO_Bridge,REMIND-MAgPIE 1.7-3.0,-0.0016731840240244156,-0.0016731840240244156,1,R10INDIA+
156,PEP_1p5C_full_NDC,REMIND-MAgPIE 1.7-3.0,-0.0005266676657940256,-0.0005266676657940256,1,R10INDIA+
157,PEP_1p5C_full_eff,REMIND-MAgPIE 1.7-3.0,-4.72991142842355e-05,-4.72991142842355e-05,1,R10INDIA+
158,PEP_1p5C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,-0.0015667167293247214,-0.0015667167293247214,1,R10INDIA+
159,PEP_1p5C_full_netzero,REMIND-MAgPIE 1.7-3.0,-0.0015667167293247214,-0.0015667167293247214,1,R10INDIA+
160,PEP_1p5C_red_eff,REMIND-MAgPIE 1.7-3.0,-7.086009630591361e-07,-7.086009630591361e-07,1,R10INDIA+
161,PEP_2C_full_NDC,REMIND-MAgPIE 1.7-3.0,-0.0005266676657940256,-0.0005266676657940256,1,R10INDIA+
162,PEP_2C_full_eff,REMIND-MAgPIE 1.7-3.0,-0.00017148143306042196,-0.00017148143306042196,1,R10INDIA+
163,PEP_2C_full_goodpractice,REMIND-MAgPIE 1.7-3.0,-0.0016731840240244156,-0.0016731840240244156,1,R10INDIA+
164,PEP_2C_full_netzero,REMIND-MAgPIE 1.7-3.0,-0.0016731840240244156,-0.0016731840240244156,1,R10INDIA+
165,PEP_2C_red_NDC,REMIND-MAgPIE 1.7-3.0,-0.00047812849982444006,-0.00047812849982444006,1,R10INDIA+
166,PEP_2C_red_eff,REMIND-MAgPIE 1.7-3.0,-4.552761187658072e-05,-4.552761187658072e-05,1,R10INDIA+
167,PEP_2C_red_goodpractice,REMIND-MAgPIE 1.7-3.0,-0.0015265036246710773,-0.0015265036246710773,1,R10INDIA+
168,PEP_2C_red_netzero,REMIND-MAgPIE 1.7-3.0,-0.0015265036246710773,-0.0015265036246710773,1,R10INDIA+
169,CEMICS_SSP1-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
170,CEMICS_SSP1-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
171,CEMICS_SSP2-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
172,CEMICS_SSP2-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
173,EN_INDCi2030_300f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
174,EN_INDCi2030_400f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
175,EN_INDCi2030_500f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
176,EN_INDCi2030_600_COV,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
177,EN_INDCi2030_600_COV_NDCp,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
178,EN_INDCi2030_600f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
179,EN_INDCi2030_600f_COV,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
180,EN_INDCi2030_600f_COV_NDCp,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
181,EN_INDCi2030_600f_NDCp,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
182,EN_NPi2020_200f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
183,EN_NPi2020_300f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
184,EN_NPi2020_400,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
185,EN_NPi2020_400f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
186,EN_NPi2020_500,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
187,EN_NPi2020_500f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
188,EN_NPi2020_600,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10INDIA+
