model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2070,391.9630777030621,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2060,371.6558699921054,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2050,333.3039716504022,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2040,285.4972344141786,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2030,245.6421494505812,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2025,232.1832296984213,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2020,218.8119218211297,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2035,265.3112475590067,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2090,60387.44691852,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2080,39833.60704578,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2070,25087.6302692,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2060,15177.76385892,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2050,8963.79019358125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2045,6871.020022847501,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2100,87332.4436773,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2035,4025.90358389875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2030,3075.783250778125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2025,2316.98948574375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2020,1762.850062605625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),GDP|MER,billion USD_2010/yr,2040,5261.402215149999,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2050,162.073149530304,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2100,589.9652206711121,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2090,445.8757804460408,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2080,393.8615576112016,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2070,351.1148588858902,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2060,263.524480176897,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2040,173.2540608547125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2030,171.9908790529224,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2035,169.6650933831055,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2025,146.1579057082404,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2020,100.8282873647954,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Investment|Energy Supply,billion USD_2010/yr,2045,163.6038684819549,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2090,2975.6968375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2080,2975.60265,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2070,2975.6383375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2060,2975.729175,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2050,2975.7643125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2045,2975.7643125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2100,2975.7204625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2035,2975.6366625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2030,2975.671675,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2025,2975.671675,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2020,2975.7588,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover,million ha,2040,2975.6366625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover|Forest,million ha,2090,496.926580859375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Land Cover|Forest,million ha,2080,460.387734765625,GW2-IIIb,GW2b,GW2,ok
