model,scenario,version,Climate Category|SCI 2025 [Tier I],missing_iamee_variables,missing_sci_variables,incomplete_variable_count
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000-NDCp,1,GW2,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f,1,GW2,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f-COV,1,GW2,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f-NDCp,1,GW2,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
TIAM-ECN 1.1,ENGAGE-INDCi2030-1200,1,GW3,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
TIAM-ECN 1.1,ENGAGE-INDCi2030-1200f,1,GW3,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
TIAM-ECN 1.1,ENGAGE-INDCi2030-1400,1,GW4,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
TIAM-ECN 1.1,ENGAGE-INDCi2030-1400f,1,GW4,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
TIAM-ECN 1.1,ENGAGE-INDCi2030-1600,1,GW4,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
TIAM-ECN 1.1,ENGAGE-INDCi2030-900,1,GW2,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
