Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10INDIA+,Primary Energy|Biomass,EJ/yr,10.480333318710326,10.281422471046447,9.064421875,8.560588005065918,12.366335693359376,15.535547607421876,17.550669799804687,,18.487489135742187,,20.53038488769532,,21.312709594726563,,21.78968896484375,,22.662619140625
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10INDIA+,Primary Energy|Coal,EJ/yr,17.6209150390625,19.9336220703125,23.24525268554688,14.109686767578124,11.987946472167968,10.675028259277344,12.228184936523435,,16.19415283203125,,21.157398193359377,,25.89542529296876,,30.95696875,,29.471767089843752
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10INDIA+,Primary Energy|Fossil|w/ CCS,EJ/yr,0.0,0.0079812851564242,0.0715954770081007,0.7079103372097015,3.560147331237794,8.366817630529404,13.559400984968992,,23.18128014136106,,26.85894537641108,,30.98215214371681,,33.35718055047095,,29.09540520001948
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10INDIA+,Primary Energy|Fossil|w/o CCS,EJ/yr,35.44911120605469,40.42737487792969,47.150831787109375,36.97553552246094,31.30157885742188,24.616274185180664,24.109077667236328,,18.31214436340332,,23.62550257873536,,30.476680633544923,,32.34661581420899,,35.253457305908206
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10INDIA+,Primary Energy|Gas,EJ/yr,8.189474975585938,10.652323974609375,13.0769892578125,14.01838232421875,13.12203466796875,12.4417724609375,16.18402880859375,,17.15977294921875,,16.99497607421875,,17.29592529296875,,14.61025830078125,,10.151755859375
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10INDIA+,Primary Energy|Non-Biomass Renewables,EJ/yr,1.466164272,2.8523939951875,4.15287118,5.223769132000001,6.458375360000001,9.40812111,10.4131118,,16.5087431,,21.263597,,23.354069604,,27.496676392,,32.474150736
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10INDIA+,Primary Energy|Nuclear,EJ/yr,0.296088296,0.329988032,0.401416496,0.468838096,0.7349970240000001,1.351036624,1.74854016,,2.46630208,,2.87026496,,3.615971968,,5.455214848000001,,8.12907008
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10INDIA+,Primary Energy|Oil,EJ/yr,9.63872119140625,9.849410766601563,10.900185791015623,9.555385864257811,9.751749755859375,9.86629296875,9.256259155273437,,8.139504150390625,,12.33208056640625,,18.26748876953125,,20.136572265625,,24.725345703125
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,Capacity|Electricity|Solar|PV,GW,17.579807861328124,32.527586914062496,45.340205078125,60.148662109375,66.14719140625,90.630337890625,118.055330078125,,245.30475976562505,,300.54240234375004,,224.39611132812504,,175.3814453125,,198.8208984375
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,Capacity|Electricity|Wind,GW,34.12368081057072,51.72790983104706,63.789679767608646,76.36057694625855,80.42960298156737,118.1829090576172,185.5921019287109,,364.1941154785157,,430.1564243164063,,315.09023150634766,,293.247376953125,,349.1003413085938
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,5.000944576967943e-05,0.0221171334070883,0.3572630955164986,100.4037408559668,359.58235180546194,492.63613990660815,,546.0439111651187,,472.5476353078192,,511.76606567179897,,455.4450683031024,,516.0137236477997
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,Carbon Sequestration|Land Use,Mt CO2/yr,-321.7068907786807,-297.1452412776076,-267.287058702444,-250.4270967168531,-262.36717028910647,-199.9590581775195,-81.21898249141998,,305.9263917274733,,416.6921641435548,,582.1172614179758,,755.7051294238927,,1167.8207157620486
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,Emissions|CO2,Mt CO2/yr,3571.5145800976325,3507.22504965559,3197.554947190101,2218.723101499716,2076.17665118972,1422.6789895397346,1603.8594164716924,,2063.286132841125,,318.55628509238534,,269.53340850737254,,173.5459556737359,,-369.04213257011946
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,Final Energy,EJ/yr,28.994030517578125,31.86975561523437,34.602693359375,30.66868627929688,30.21977026367188,30.227774169921872,30.509529785156253,,32.81338232421875,,37.4610693359375,,40.16173486328125,,41.354123046875,,43.014830566406246
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,Final Energy|Electricity,EJ/yr,5.855090148925782,6.7893858337402335,7.7626390991210945,7.481246459960937,7.831859680175782,8.921505920410157,10.823770019531253,,15.275772216796875,,17.473007080078126,,18.84652685546875,,21.110912353515623,,22.091787109375
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,GDP|MER,billion USD_2010/yr,5376.581489428751,6464.748831368751,7654.0943755587505,8943.68415871125,10371.66106148,11949.067313120002,13697.648196000002,,17722.90174422,,22403.387933400005,,27782.4293672,,33799.568919640005,,40450.13303566
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,Investment|Energy Supply,billion USD_2010/yr,90.4397281048038,94.48602799806729,106.48742243837395,87.71013345805576,78.33766916037989,134.77327398904856,239.64852525781785,,296.57966568401014,,245.14602407215844,,265.9965313783101,,288.6078981469538,,234.374270680853
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10LATIN_AM,Land Cover,million ha,2028.22393125,2028.1636375,2028.1636375,2028.28916875,2028.28916875,2028.265125,2028.265125,,2028.2404,,2028.21064375,,2028.19838125,,2028.194925,,2028.20204375
